DATE,VISITS
2008-09-10,147.0
2008-09-11,165.0
2008-09-12,179.0
2008-09-13,163.0
2008-09-14,203.0
2008-09-15,161.0
2008-09-16,143.0
2008-09-17,195.0
2008-09-18,150.0
2008-09-19,140.0
2008-09-20,186.0
2008-09-21,151.0
2008-09-22,174.0
2008-09-23,197.0
2008-09-24,174.0
2008-09-25,134.0
2008-09-26,166.0
2008-09-27,187.0
2008-09-28,199.0
2008-09-29,192.0
2008-09-30,187.0
2008-10-01,233.0
2008-10-02,207.0
2008-10-03,199.0
2008-10-04,169.0
2008-10-05,267.0
2008-10-06,212.0
2008-10-07,247.0
2008-10-08,230.0
2008-10-09,223.0
2008-10-10,168.0
2008-10-11,163.0
2008-10-12,187.0
2008-10-13,294.0
2008-10-14,233.0
2008-10-15,193.0
2008-10-16,185.0
2008-10-17,192.0
2008-10-18,170.0
2008-10-19,165.0
2008-10-20,210.0
2008-10-21,229.0
2008-10-22,181.0
2008-10-23,210.0
2008-10-24,196.0
2008-10-25,130.0
2008-10-26,106.0
2008-10-27,178.0
2008-10-28,195.0
2008-10-29,199.0
2008-10-30,152.0
2008-10-31,138.0
2008-11-01,157.0
2008-11-02,111.0
2008-11-03,150.0
2008-11-04,204.0
2008-11-05,157.0
2008-11-06,222.0
2008-11-07,213.0
2008-11-08,144.0
2008-11-09,166.0
2008-11-10,217.0
2008-11-11,96.0
2008-11-12,175.0
2008-11-13,174.0
2008-11-14,182.0
2008-11-15,127.0
2008-11-16,91.0
2008-11-17,169.0
2008-11-18,167.0
2008-11-19,209.0
2008-11-20,223.0
2008-11-21,181.0
2008-11-22,92.0
2008-11-23,80.0
2008-11-24,209.0
2008-11-25,200.0
2008-11-26,155.0
2008-11-27,195.0
2008-11-28,149.0
2008-11-29,73.0
2008-11-30,89.0
2008-12-01,207.0
2008-12-02,178.0
2008-12-03,178.0
2008-12-04,183.0
2008-12-05,240.0
2008-12-06,101.0
2008-12-07,118.0
2008-12-08,251.0
2008-12-09,230.0
2008-12-10,191.0
2008-12-11,193.0
2008-12-12,185.0
2008-12-13,154.0
2008-12-14,117.0
2008-12-15,220.0
2008-12-16,196.0
2008-12-17,196.0
2008-12-18,216.0
2008-12-19,165.0
2008-12-20,142.0
2008-12-21,121.0
2008-12-22,231.0
2008-12-23,196.0
2008-12-24,169.0
2008-12-25,91.0
2008-12-26,268.0
2008-12-27,175.0
2008-12-28,205.0
2008-12-29,218.0
2008-12-30,181.0
2008-12-31,178.0
2009-01-01,121.0
2009-01-02,180.0
2009-01-03,130.0
2009-01-04,164.0
2009-01-05,222.0
2009-01-06,217.0
2009-01-07,200.0
2009-01-08,194.0
2009-01-09,216.0
2009-01-10,135.0
2009-01-11,137.0
2009-01-12,199.0
2009-01-13,158.0
2009-01-14,30.0
2009-01-15,154.0
2009-01-16,194.0
2009-01-17,141.0
2009-01-18,169.0
2009-01-19,209.0
2009-01-20,206.0
2009-01-21,202.0
2009-01-22,166.0
2009-01-23,158.0
2009-01-24,173.0
2009-01-25,142.0
2009-01-26,214.0
2009-01-27,189.0
2009-01-28,226.0
2009-01-29,235.0
2009-01-30,205.0
2009-01-31,165.0
2009-02-01,179.0
2009-02-02,171.0
2009-02-03,208.0
2009-02-04,252.0
2009-02-05,241.0
2009-02-06,194.0
2009-02-07,160.0
2009-02-08,91.0
2009-02-09,234.0
2009-02-10,257.0
2009-02-11,198.0
2009-02-12,149.0
2009-02-13,78.0
2009-02-14,76.0
2009-02-15,19.0
2009-02-16,40.0
2009-02-17,35.0
2009-02-18,99.0
2009-02-19,48.0
2009-02-20,35.0
2009-02-21,42.0
2009-02-22,36.0
2009-02-23,60.0
2009-02-24,67.0
2009-02-25,72.0
2009-02-26,220.0
2009-02-27,190.0
2009-02-28,176.0
2009-03-01,186.0
2009-03-02,234.0
2009-03-03,195.0
2009-03-04,183.0
2009-03-05,212.0
2009-03-06,227.0
2009-03-07,157.0
2009-03-08,128.0
2009-03-09,183.0
2009-03-10,257.0
2009-03-11,147.0
2009-03-12,200.0
2009-03-13,192.0
2009-03-14,170.0
2009-03-15,181.0
2009-03-16,177.0
2009-03-17,219.0
2009-03-18,128.0
2009-03-19,197.0
2009-03-20,173.0
2009-03-21,160.0
2009-03-22,144.0
2009-03-23,211.0
2009-03-24,191.0
2009-03-25,120.0
2009-03-26,163.0
2009-03-27,148.0
2009-03-28,118.0
2009-03-29,187.0
2009-03-30,228.0
2009-03-31,209.0
2009-04-01,179.0
2009-04-02,169.0
2009-04-03,135.0
2009-04-04,202.0
2009-04-05,156.0
2009-04-06,140.0
2009-04-07,157.0
2009-04-08,158.0
2009-04-09,86.0
2009-04-10,101.0
2009-04-11,157.0
2009-04-12,102.0
2009-04-13,107.0
2009-04-14,133.0
2009-04-15,73.0
2009-04-16,0.0
2009-04-17,154.0
2009-04-18,217.0
2009-04-19,174.0
2009-04-20,163.0
2009-04-21,173.0
2009-04-22,107.0
2009-04-23,137.0
2009-04-24,77.0
2009-04-25,164.0
2009-04-26,154.0
2009-04-27,112.0
2009-04-28,162.0
2009-04-29,157.0
2009-04-30,105.0
2009-05-01,116.0
2009-05-02,159.0
2009-05-03,120.0
2009-05-04,75.0
2009-05-05,198.0
2009-05-06,117.0
2009-05-07,125.0
2009-05-08,111.0
2009-05-09,144.0
2009-05-10,102.0
2009-05-11,91.0
2009-05-12,183.0
2009-05-13,139.0
