DATE,VISITS
2008-01-01,314.0
2008-01-02,332.0
2008-01-03,361.0
2008-01-04,318.0
2008-01-05,283.0
2008-01-06,318.0
2008-01-07,372.0
2008-01-08,366.0
2008-01-09,361.0
2008-01-10,349.0
2008-01-11,350.0
2008-01-12,294.0
2008-01-13,299.0
2008-01-14,385.0
2008-01-15,347.0
2008-01-16,317.0
2008-01-17,327.0
2008-01-18,302.0
2008-01-19,297.0
2008-01-20,372.0
2008-01-21,419.0
2008-01-22,330.0
2008-01-23,353.0
2008-01-24,334.0
2008-01-25,346.0
2008-01-26,289.0
2008-01-27,343.0
2008-01-28,418.0
2008-01-29,318.0
2008-01-30,330.0
2008-01-31,292.0
2008-02-01,367.0
2008-02-02,272.0
2008-02-03,315.0
2008-02-04,380.0
2008-02-05,337.0
2008-02-06,312.0
2008-02-07,334.0
2008-02-08,358.0
2008-02-09,294.0
2008-02-10,283.0
2008-02-11,329.0
2008-02-12,328.0
2008-02-13,297.0
2008-02-14,270.0
2008-02-15,328.0
2008-02-16,294.0
2008-02-17,304.0
2008-02-18,418.0
2008-02-19,381.0
2008-02-20,355.0
2008-02-21,321.0
2008-02-22,337.0
2008-02-23,335.0
2008-02-24,337.0
2008-02-25,434.0
2008-02-26,349.0
2008-02-27,407.0
2008-02-28,322.0
2008-02-29,308.0
2008-03-01,302.0
2008-03-02,318.0
2008-03-03,424.0
2008-03-04,331.0
2008-03-05,351.0
2008-03-06,327.0
2008-03-07,308.0
2008-03-08,312.0
2008-03-09,295.0
2008-03-10,369.0
2008-03-11,349.0
2008-03-12,324.0
2008-03-13,308.0
2008-03-14,309.0
2008-03-15,319.0
2008-03-16,299.0
2008-03-17,425.0
2008-03-18,360.0
2008-03-19,280.0
2008-03-20,297.0
2008-03-21,280.0
2008-03-22,343.0
2008-03-23,314.0
2008-03-24,377.0
2008-03-25,342.0
2008-03-26,311.0
2008-03-27,313.0
2008-03-28,369.0
2008-03-29,325.0
2008-03-30,334.0
2008-03-31,387.0
2008-04-01,321.0
2008-04-02,328.0
2008-04-03,334.0
2008-04-04,334.0
2008-04-05,314.0
2008-04-06,278.0
2008-04-07,361.0
2008-04-08,345.0
2008-04-09,357.0
2008-04-10,328.0
2008-04-11,364.0
2008-04-12,311.0
2008-04-13,316.0
2008-04-14,396.0
2008-04-15,390.0
2008-04-16,329.0
2008-04-17,341.0
2008-04-18,352.0
2008-04-19,342.0
2008-04-20,319.0
2008-04-21,238.0
2008-04-22,446.0
2008-04-23,323.0
2008-04-24,324.0
2008-04-25,327.0
2008-04-26,303.0
2008-04-27,301.0
2008-04-28,412.0
2008-04-29,371.0
2008-04-30,340.0
2008-05-01,278.0
2008-05-02,372.0
2008-05-03,293.0
2008-05-04,333.0
2008-05-05,386.0
2008-05-06,372.0
2008-05-07,318.0
2008-05-08,323.0
2008-05-09,336.0
2008-05-10,253.0
2008-05-11,347.0
2008-05-12,333.0
2008-05-13,323.0
2008-05-14,303.0
2008-05-15,321.0
2008-05-16,295.0
2008-05-17,260.0
2008-05-18,293.0
2008-05-19,337.0
2008-05-20,357.0
2008-05-21,315.0
2008-05-22,343.0
2008-05-23,360.0
2008-05-24,276.0
2008-05-25,326.0
2008-05-26,405.0
2008-05-27,352.0
2008-05-28,339.0
2008-05-29,300.0
2008-05-30,310.0
2008-05-31,320.0
2008-06-01,318.0
2008-06-02,444.0
2008-06-03,381.0
2008-06-04,341.0
2008-06-05,328.0
2008-06-06,315.0
2008-06-07,257.0
2008-06-08,274.0
2008-06-09,351.0
2008-06-10,305.0
2008-06-11,311.0
2008-06-12,221.0
2008-06-13,308.0
2008-06-14,282.0
2008-06-15,287.0
2008-06-16,312.0
2008-06-17,369.0
2008-06-18,335.0
2008-06-19,323.0
2008-06-20,305.0
2008-06-21,291.0
2008-06-22,272.0
2008-06-23,396.0
2008-06-24,334.0
2008-06-25,322.0
